recommendation_id,client_id,week_start_date,week_end_date,best_platform,recommendation_text,created_at
90c1d739-6a8e-4002-885a-e90f9da1ebc9,47535168-2cb4-4c2d-b35a-b987802a2df7,2026-04-08,2026-04-14,facebook,Your facebook audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-04-24 22:58:07
9ea65e0a-80b1-4be6-b470-f6831924e3fa,0b3d3f1e-5980-4d29-839c-ba414978df59,2026-05-20,2026-05-26,youtube,Engagement on youtube is highest on weekdays. Use carousel posts with educational content. Include a clear CTA in every caption.,2026-04-07 21:31:33
f87af463-f165-42d5-8835-b004a9380738,47887c49-3f2d-418a-9613-c7c880d13124,2026-03-25,2026-03-31,linkedin,"Based on last week's analytics, linkedin posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-03-30 05:50:40
779662c3-e986-4a88-9f36-19ab646fc5b5,57d21c6f-5ddb-4e55-9a54-89366d0183f4,2026-05-20,2026-05-26,instagram,"Based on last week's analytics, instagram posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-04-02 10:25:45
cfd9b04b-e80d-4968-a01b-afc2939120ae,be527e58-5060-4b1a-a17d-a8e767bca837,2026-03-18,2026-03-24,twitter,"Your top-performing content last week was on twitter. Replicate the format: short caption, 5 hashtags, high-quality image. Aim for 4 posts this week.",2026-05-17 01:25:47
891dae0a-55d5-4ab1-9093-f038c1296d7b,79284e64-48ab-49d9-9513-dae60b27da13,2026-04-29,2026-05-05,twitter,"Based on last week's analytics, twitter posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-05-12 07:01:42
4336b8a9-5e21-482d-9b10-7eb6f5e762a4,49276bea-9dcf-4271-99d9-39880d66d25a,2026-05-13,2026-05-19,youtube,Your youtube audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-03-13 08:08:36
bebf932e-6ce9-4020-8dd1-0dfdf8d2ecc9,0b3d3f1e-5980-4d29-839c-ba414978df59,2026-03-04,2026-03-10,facebook,"Based on last week's analytics, facebook posts performed best. Focus on short-form video content with strong hooks. Post between 6–9 PM local time for maximum reach.",2026-03-27 09:14:01
20a20cab-d7d5-49a0-94bf-4c5d9f7a1f60,57d21c6f-5ddb-4e55-9a54-89366d0183f4,2026-03-11,2026-03-17,facebook,Your facebook audience engaged most with behind-the-scenes content. Create 3 posts this week showing your team and process.,2026-05-17 14:44:12
783ac755-5b2b-4289-b875-18b2ae4de8a5,c97541aa-bbae-47af-ab41-edbf474c799e,2026-05-20,2026-05-26,instagram,Data shows instagram drives the most profile visits. Increase posting frequency to daily and use trending audio for Reels.,2026-05-22 11:10:01
