generation_id,draft_id,platform,prompt,generated_text,generated_at
e905d589-2eab-4f25-bc0a-bfef60d031c2,84869a20-6870-43e9-93a6-28a3b41f18d8,twitter,Create a professional twitter post from this content. Add relevant hashtags.,Strategy start mind door authority outside. Shake personal often beat art almost. Three really site artist sort area.,2025-12-25 01:28:24
c0fbb12e-5183-49ee-a344-b26979dec271,a87fad59-194f-4e35-93d1-a83a724599f9,twitter,Generate 5 hashtags and a hook for this twitter post targeting marketers.,It big argue appear sure I pay in. Skin perhaps law less into per big prepare. Law foreign court. Activity require or subject. Call meeting green loss per control case.,2026-05-20 09:27:32
39f4e57c-be9e-4433-8fe8-ca32e38e133a,3a17f714-4599-485a-ad7a-01dfe35f1e27,facebook,Write a compelling facebook caption for this draft. Audience: marketers.,Camera once message prepare. Find those simply challenge final garden.,2026-04-16 16:01:32
44fc83b0-e953-4b50-ad15-a85944a2a126,53f14e73-6a6c-4e4e-9f0a-d30daf90e466,tiktok,Generate 5 hashtags and a hook for this tiktok post targeting tech professionals.,Military price certain. Medical strong teach instead crime. Policy cut attention country little. Outside former official white pattern industry class.,2026-05-06 06:20:10
a5db154c-26b3-4cd4-84fc-182688ea7044,53f14e73-6a6c-4e4e-9f0a-d30daf90e466,instagram,Repurpose this draft for instagram. Keep it under 280 characters. Focus on engagement.,Many turn police. Level defense lose shoulder spring. Day contain wrong guy available air. Central key place tree.,2026-03-04 02:53:16
1420926e-3ab1-46cb-a8c5-f2af14b8cbdc,cb0339f7-ed37-47a9-93f4-b376c6bbbf2d,linkedin,Write a compelling linkedin caption for this draft. Audience: entrepreneurs.,Wish current exist. Those responsibility fund never condition. Compare energy big. Her skin book very.,2025-12-17 05:47:49
9d18b11e-3a94-4a06-8d65-45eea4986cbb,53f14e73-6a6c-4e4e-9f0a-d30daf90e466,tiktok,Generate 5 hashtags and a hook for this tiktok post targeting students.,Drive special produce wait with young think. Budget third capital couple. Her hear outside with each animal pattern.,2026-03-09 09:37:22
776566db-22fb-40d1-8eb1-1d53a9bcf8ea,fa11e0ad-9610-4b94-a27d-fbd79b4d0a9d,twitter,Create a professional twitter post from this content. Add relevant hashtags.,Family chance easy picture evidence call meet. Though decide bank likely professional ask meet seem. Hear million condition Republican moment low what.,2026-04-10 15:34:40
14024228-eef3-4bcf-a85c-545cfc527409,98b5e970-4440-4f4a-a2c1-9bdc112728ed,facebook,Repurpose this draft for facebook. Keep it under 280 characters. Focus on engagement.,Ok point so power debate. Later doctor despite interesting help. Very hear nearly care. Far million discover American.,2025-12-17 08:18:03
72694170-d82b-488b-aac3-5ee51782d84b,dfa97ccb-0348-4bcc-8f2e-a53985e7549f,facebook,Write a compelling facebook caption for this draft. Audience: entrepreneurs.,From later it happen marriage event agent kid. Population grow bar successful mention. Skill unit better author. National free push. Few spring raise ever relationship.,2026-02-11 23:50:10
daa80dfa-12e9-4601-ad74-7a004168d344,f2cfe8b3-575d-4967-888b-568b671c6e3b,tiktok,Write a compelling tiktok caption for this draft. Audience: small business owners.,Treatment across federal state situation identify if. Serious activity pressure writer week tend dinner rich. Listen middle skill serious reveal.,2026-04-02 16:30:07
b63897c4-3afa-49f7-b771-87fcb809b4ff,e92bca55-60c6-4d21-b837-a4e75aee6a8a,linkedin,Repurpose this draft for linkedin. Keep it under 280 characters. Focus on engagement.,Social fine could show recently decide. Table air catch them figure scene matter. Fund industry rate idea single Mrs. Only nothing allow cause with yes.,2026-02-09 18:29:51
