analytics_id,post_id,views,likes,comments,shares,engagement_rate,recorded_at
70e89de2-ad12-40bc-9022-e6746778a878,0ad6e740-1926-4f15-ae67-4e6abc55e0b8,19342,469,248,195,4.72,2026-05-01 09:20:13
9fc11c33-fa6d-4a12-b3c5-269c0af1cfe6,1d546e9e-47d0-422f-ae8e-5490e2720ee1,48861,5884,1091,796,15.9,2026-04-06 10:13:18
0a32c5bb-e455-4a66-b25c-7c9bf5732a0e,d2b8df6d-c3f8-447c-84ce-16a1311668a7,35793,4546,638,896,16.99,2026-02-01 16:38:36
eb2fac24-3475-4240-8969-3e79b23d16c4,3022ee85-2e0d-4bfb-bd49-12d477834abb,36005,1743,715,813,9.08,2026-04-16 03:22:47
aef8bdf9-74be-4477-a803-f98e24b06ed4,0ad6e740-1926-4f15-ae67-4e6abc55e0b8,19710,2635,120,184,14.91,2026-05-11 03:56:24
aeaef95d-3b11-4f98-bd46-0860f844772e,c412af8b-1ecf-43bf-be55-4e3a9cd0d184,28974,3838,263,716,16.63,2026-02-21 21:15:15
51e232e0-59aa-438e-9061-01c03e00045e,1d546e9e-47d0-422f-ae8e-5490e2720ee1,45363,2974,1355,894,11.51,2026-02-16 14:49:56
06384815-2281-452b-9b1f-f02c6a75146e,90fdc664-03a0-4e49-b9f4-591896ebad6a,13741,1728,456,246,17.68,2026-04-01 13:46:26
12bd3297-6c65-4e38-b2a6-a9e4f6a8cdc4,2de3ac49-12b4-4db7-80b3-6ac25b28df17,35508,1487,1394,361,9.13,2026-04-06 10:17:01
fb770854-78d4-45b3-962d-ac879f2ccf6b,d557c3e0-08b5-40ba-9236-c3d238c5d177,44718,5633,435,1028,15.87,2026-03-18 02:12:08
53ceb1ae-1bef-4d91-a652-4e3113835d66,2710afcf-a7a5-4fc3-a7be-39d60c0f0b97,18374,2438,173,482,16.83,2026-02-26 15:52:32
3120f85c-289c-4b6d-b3a6-fc9330c9d6c3,6ad4adc5-606e-4353-810a-9d6d4d3b97d9,21308,2721,674,446,18.03,2026-03-27 10:26:47
2f06d86a-8b98-4c8b-9ecf-b129c23b8365,1d546e9e-47d0-422f-ae8e-5490e2720ee1,41645,2287,811,610,8.9,2026-04-13 17:39:11
9a0a5236-4365-42c8-a7ab-48b30f7e9d30,c412af8b-1ecf-43bf-be55-4e3a9cd0d184,26601,2315,392,750,13.0,2026-03-12 23:43:48
697aea57-7b36-4864-aadc-27b60d074458,3ab30feb-3b7c-4946-8ab4-5df90e3a5ebc,21649,2070,766,556,15.67,2026-02-07 21:03:11
